Municipality Name,Contact Name,Total Number of Households ,Households Served by Municipal Program,Trash Collection Type,Trash Collection Method,Trash Disposal Tonnage,Bulky Waste,School Waste,Municipal Building Waste,Commercial Waste,Other Waste,Recycling Collection Type,Recycling Collection Method,Recycling - Dual or Single Stream,Recycling Tonnage
Boxborough,Thomas Garmon,1968,1290,Drop off,"Other (including drop-off, subscription, and manual)",1045,Y,,Y,,,Drop off,"Other (including drop-off, subscription, no service, and manual)",Single stream,341
BOXFORD,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
BOYLSTON,--- Did Not Report ---,,0,Subscription,,0,,,,,,Subscription,,,0
Braintree,Rosemary Nolan,10205,9710,Curbside,,12926,Y,Y,Y,,,Curbside,Semi-automated,Single stream,2306
Brewster,Robert Bersin,7545,3825,Drop off,,4651,Y,,,Y,,Drop off,,,635
BRIDGEWATER,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
BRIMFIELD,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Subscription,,,0
Brockton,Patrick Sullivan,36000,28000,Curbside,,25000,,,,,,Curbside,,Dual stream,5000
Brookfield,Lucinda Thompson,1300,750,Drop off,,440,Y,,Y,Y,,Drop off,,Dual stream,139
Brookline,Ed Gilbert,26938,13255,Curbside,,10181,Y,Y,Y,Y,There are 45 commercial and religious units picked up by Town waste vehicles,Curbside,,Dual stream,4674
Buckland,Jan Ameen,900,675,Drop off,,240,,,,,,Drop off,,Dual stream,143
BURLINGTON,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Cambridge,Randi Mail,42615,30294,Curbside,,18246,Y,Y,Y,Y,"30,294 HH get municipal trash and 41,336 HH get municipal recycling",Curbside,Semi-automated,Dual stream,12677
CANTON,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Carlisle,Timothy D. Goddard,1638,960,Drop off,,1795,Y,Y,Y,Y,,Drop off,,,795
Carver,Robert Tinkham Jr.,3233,2246,Subscription,,3900,Y,Y,Y,Y,,Subscription,,,119
Charlemont,Jan Ameen,805,745,Drop off,,187,,,,,,Drop off,,Dual stream,98
CHARLTON,--- Did Not Report ---,,0,Subscription,,0,,,,,,Subscription,,,0
Chatham,Jeff Colby,6530,4484,Drop off,,5696,,Y,Y,Y,,Drop off,,,1132
Chelmsford,Jennifer V. Almeidad,13385,13385,Curbside,,12634,Y,Y,Y,,all residential properties including apartments and condominiums,Curbside,,Dual stream,3797
Chelsea,Joseph C. Foti,13144,10220,Curbside,,11565,Y,,Y,,Chelsea Housing Authority,Curbside,,Dual stream,418
